Frame	Time	R_HLE X	R_HLE Y	R_HLE Z	R_HEAD X	R_HEAD Y	R_HEAD Z	RIAS X	RIAS Y	RIAS Z	RIPS X	RIPS Y	RIPS Z	LIPS X	LIPS Y	LIPS Z	L_FM2 X	L_FM2 Y	L_FM2 Z	SJN X	SJN Y	SJN Z	L_FLE X	L_FLE Y	L_FLE Z	R_FLE X	R_FLE Y	R_FLE Z	L_FCC X	L_FCC Y	L_FCC Z	L_HEAD X	L_HEAD Y	L_HEAD Z	L_FAL X	L_FAL Y	L_FAL Z	R_HM2 X	R_HM2 Y	R_HM2 Z	SGL X	SGL Y	SGL Z	R_FCC X	R_FCC Y	R_FCC Z	R_FAL X	R_FAL Y	R_FAL Z	LIAS X	LIAS Y	LIAS Z	L_HM2 X	L_HM2 Y	L_HM2 Z	L_HLE X	L_HLE Y	L_HLE Z	SXS X	SXS Y	SXS Z	R_FM2 X	R_FM2 Y	R_FM2 Z	
936	2.33750	2074.451	622.848	1155.998	1989.905	365.061	1543.910	1954.596	415.794	933.896	2092.481	381.083	1008.333	2106.483	208.409	991.690	1600.188	234.231	160.810	1892.203	266.802	1272.422	1888.724	153.565	470.823	2122.222	417.827	447.594	1763.262	269.936	92.462	2017.379	178.011	1543.681	1709.817	217.639	127.413	1896.124	499.095	1007.290	1868.677	260.313	1601.385	2509.843	347.191	472.481	2519.046	401.398	430.436	1951.219	170.431	939.118	2261.477	34.920	927.552	2271.985	31.912	1232.828	1867.133	261.371	1131.529	2557.867	388.610	278.193
937	2.34000	2063.720	622.729	1155.453	1978.322	364.628	1543.223	1943.339	415.966	933.105	2081.273	381.429	1007.304	2095.615	208.690	990.655	1591.350	236.327	158.591	1880.878	266.693	1271.478	1877.560	154.215	470.012	2107.978	419.022	446.147	1754.826	270.720	90.758	2005.749	177.610	1542.906	1700.969	218.945	125.823	1886.829	500.632	1003.011	1856.940	259.807	1600.209	2494.541	347.158	476.487	2504.597	401.548	434.502	1940.719	170.587	937.965	2248.103	33.866	925.044	2260.111	31.586	1230.254	1855.839	261.539	1130.272	2544.875	389.455	282.786
938	2.34250	2053.204	622.598	1154.790	1966.853	364.326	1542.286	1932.307	415.920	932.183	2070.013	381.841	1006.336	2084.867	209.096	989.619	1582.854	238.429	156.205	1869.580	266.708	1270.423	1866.241	154.857	469.431	2093.768	420.211	444.651	1746.862	271.352	88.928	1994.164	177.252	1542.068	1692.341	220.098	123.795	1878.221	502.970	998.173	1845.330	259.522	1599.237	2479.194	347.142	480.089	2489.756	401.639	438.639	1930.103	170.822	937.038	2234.869	32.814	922.501	2248.127	31.164	1227.485	1844.914	261.725	1129.276	2532.481	389.317	287.479
939	2.34500	2042.520	622.380	1154.161	1955.447	364.009	1541.484	1921.301	416.393	931.329	2058.894	382.209	1005.319	2074.749	209.790	988.506	1574.694	240.558	153.624	1858.256	266.535	1269.498	1854.869	155.571	468.698	2079.394	421.499	443.129	1739.302	272.027	87.074	1982.604	176.893	1541.115	1684.172	221.390	121.642	1869.636	504.834	993.805	1833.933	259.446	1598.093	2463.687	347.124	483.686	2474.743	401.613	442.392	1919.761	170.839	935.955	2221.465	31.430	919.820	2236.121	30.722	1224.762	1834.505	261.615	1128.297	2518.944	390.166	291.756
940	2.34750	2031.862	622.247	1153.340	1943.958	363.714	1540.506	1910.444	416.541	930.426	2047.722	382.564	1004.262	2064.124	210.191	987.415	1566.919	242.505	150.775	1846.980	266.567	1268.208	1843.395	156.305	467.982	2064.783	422.768	441.630	1732.035	272.664	85.084	1971.020	176.590	1540.108	1676.212	222.697	119.345	1860.722	506.359	989.603	1822.391	259.256	1596.977	2448.208	346.997	487.107	2459.706	401.745	445.776	1909.125	171.091	935.010	2207.928	30.336	916.969	2224.057	30.187	1221.876	1823.331	261.672	1126.978	2504.918	391.290	295.379
941	2.35000	2021.071	621.948	1152.448	1932.467	363.322	1539.562	1897.203	415.950	929.224	2036.594	382.967	1003.086	2053.525	210.697	986.330	1559.412	244.482	147.718	1835.775	266.459	1266.946	1831.932	157.143	467.219	2050.239	424.012	440.054	1725.292	273.173	83.047	1959.369	176.234	1539.039	1668.586	223.898	117.021	1852.019	508.014	985.296	1810.580	258.937	1595.620	2432.772	346.764	490.013	2444.560	401.912	449.037	1898.625	171.222	933.734	2194.446	28.931	914.168	2212.047	29.654	1218.795	1812.103	261.709	1125.574	2491.274	391.551	299.267
942	2.35250	2010.408	621.718	1151.537	1921.149	363.087	1538.445	1885.607	416.171	928.130	2025.435	383.401	1002.003	2042.839	211.244	985.182	1552.299	246.244	144.502	1824.469	266.463	1265.588	1820.441	157.902	466.485	2035.514	425.207	438.425	1718.589	273.915	80.699	1947.751	175.951	1537.975	1661.267	225.140	114.498	1843.115	509.572	980.760	1799.301	259.052	1594.274	2416.974	346.706	492.849	2429.168	402.080	451.990	1888.120	171.419	932.426	2180.798	27.595	911.239	2200.259	28.847	1215.683	1801.256	261.819	1124.273	2477.118	391.846	302.835
943	2.35500	1999.640	621.485	1150.487	1909.634	362.784	1537.340	1873.790	415.680	926.918	2014.316	383.880	1000.833	2033.640	212.767	984.342	1545.367	248.209	141.172	1813.010	266.258	1264.189	1808.712	158.539	465.728	2020.530	426.423	436.782	1712.412	274.398	78.546	1936.184	175.688	1536.734	1654.279	226.361	111.765	1834.727	511.368	976.219	1787.685	258.834	1593.005	2401.084	346.640	495.273	2413.621	402.225	454.814	1877.688	171.556	931.070	2167.270	26.198	908.245	2188.101	28.181	1212.339	1790.020	261.706	1123.037	2462.823	392.328	306.063
944	2.35750	1989.115	621.278	1149.241	1898.219	362.540	1536.027	1862.464	415.648	925.844	2003.232	384.341	999.552	2022.267	212.708	982.919	1538.776	250.184	137.493	1801.635	266.141	1262.844	1797.175	159.511	464.968	2005.547	427.618	435.068	1706.174	275.288	76.342	1924.551	175.417	1535.498	1647.628	227.537	109.125	1825.929	513.045	971.602	1776.071	258.596	1591.670	2385.090	346.562	497.739	2397.937	402.403	457.291	1867.298	171.622	929.823	2153.396	24.686	905.165	2175.662	27.295	1208.878	1779.038	261.765	1121.599	2448.235	392.527	309.193
945	2.36000	1978.452	621.021	1148.032	1886.755	362.255	1534.788	1851.926	416.011	924.338	1992.257	385.000	998.242	2010.820	213.113	981.656	1532.595	252.137	133.630	1790.455	266.128	1261.374	1786.276	160.326	464.203	1990.640	428.809	433.366	1700.451	276.125	73.876	1912.980	175.154	1534.184	1641.304	228.636	106.214	1817.370	514.804	966.959	1764.446	258.370	1590.336	2369.315	346.148	499.540	2381.990	402.554	459.657	1856.894	171.731	928.497	2139.719	23.171	902.013	2163.395	26.534	1205.445	1767.868	261.810	1119.981	2433.616	392.556	311.931
